Location_ID,Sensor_Description,Sensor_Name,Installation_Date,Note,Location_Type,Status,Direction_1,Direction_2,Latitude,Longitude,Location,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
1,Bourke Street Mall (North),Bou292_T,24/3/2009,,Outdoor,A,East,West,-37.81349441,144.9651532,"-37.81349441, 144.96515323",46,23,9,9,6,21,69,178,369,603,948,1509,2219,2468,2177,2019,2005,2180,1625,1031,559,349,228,70
2,Bourke Street Mall (South),Bou283_T,30/3/2009,,Outdoor,A,East,West,-37.81380668,144.9651672,"-37.81380668, 144.96516718",56,25,19,7,14,16,41,137,349,473,625,1009,1673,1703,1306,1245,1092,1043,774,544,292,269,124,75
3,Melbourne Central,Swa295_T,25/3/2009,,Outdoor,A,North,South,-37.81101524,144.9642949,"-37.81101524, 144.96429485",224,150,105,59,73,63,139,213,644,743,914,1332,2143,2143,2087,2118,2258,2402,2229,1908,1763,1372,786,533
4,Town Hall (West),Swa123_T,23/3/2009,,Outdoor,A,North,South,-37.81487988,144.9660878,"-37.81487988, 144.9660878",83,49,34,36,25,71,195,398,1009,1159,1669,2034,2990,3204,2828,2649,2780,2827,2315,1717,1319,1080,611,329
5,Princes Bridge,PriNW_T,26/3/2009,,Outdoor,A,North,South,-37.81874249,144.9678766,"-37.81874249, 144.96787656",137,39,38,43,34,106,237,614,1213,1224,1541,1341,2211,2027,1943,1717,1918,2407,1953,1733,1334,887,1328,289
6,Flinders Street Station Underpass,FliS_T,25/3/2009,Upgraded on 8/09/21,Outdoor,A,North,South,-37.81911705,144.9655826,"-37.81911705, 144.96558255",128,29,27,19,39,139,418,966,2467,1463,952,984,1446,1689,1447,1512,1901,3167,1973,1366,1189,925,729,423
7,Birrarung Marr,FedPed_T,17/12/2014,,Outdoor,A,East,West,-37.81862929,144.971694,"-37.81862929, 144.97169395",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,Webb Bridge,WebBN_T,24/3/2009,,Outdoor,A,North,South,-37.82293543,144.9471751,"-37.82293543, 144.9471751",1,2,1,N/A,1,8,70,264,373,241,230,256,504,413,275,282,375,512,324,222,159,103,43,17
9,Southern Cross Station,Col700_T,23/3/2009,,Outdoor,A,East,West,-37.81982992,144.9510256,"-37.81982992, 144.95102555",4,3,3,5,4,45,217,782,1998,1364,495,491,852,759,623,756,1613,1822,780,249,109,80,65,50
10,Victoria Point,BouHbr_T,23/4/2009,,Outdoor,A,East,West,-37.81876474,144.9471055,"-37.81876474, 144.94710545",N/A,1,N/A,1,2,5,55,226,295,249,114,112,179,165,110,176,274,245,114,64,47,23,22,10
11,Waterfront City,WatCit_T,20/1/2009,,Outdoor,A,East,West,-37.81564989,144.9397069,"-37.81564989, 144.93970694",1,N/A,2,1,N/A,6,15,72,70,72,60,69,106,61,78,45,73,87,150,203,175,82,45,17
12,New Quay,NewQ_T,21/1/2009,,Outdoor,A,East,West,-37.81457988,144.942924,"-37.81457988, 144.94292398",11,5,9,5,7,19,67,151,230,221,195,173,306,241,179,257,233,350,381,491,424,291,182,62
14,Sandridge Bridge,SanBri_T,24/3/2009,Sensor relocated to sensor ID 25 on 2/10/2019,Outdoor,A,North,South,-37.82011242,144.962919,"-37.82011242, 144.96291897",49,7,9,4,14,63,132,342,678,437,269,302,403,485,386,436,588,906,599,395,371,292,220,132
17,Collins Place (South),Col15_T,30/3/2009,Device is upgraded in 26/02/2020,Outdoor,A,East,West,-37.81362543,144.9732359,"-37.81362543, 144.97323591",32,3,6,24,8,40,171,504,1289,795,603,552,1208,1215,653,593,627,854,453,202,195,112,103,69
18,Collins Place (North),Col12_T,30/3/2009,,Outdoor,A,East,West,-37.81344862,144.9730535,"-37.81344862, 144.97305353",3,N/A,2,2,1,15,96,345,1047,573,374,327,368,514,337,358,572,883,384,138,43,20,13,8
19,Chinatown-Swanston St (North),LtB210_T,2/9/2013,,Outdoor,A,East,West,-37.81237202,144.9655067,"-37.81237202, 144.96550671",100,33,14,9,5,14,28,45,110,118,291,530,921,870,785,851,732,839,1013,1001,801,675,329,174
20,Chinatown-Lt Bourke St (South),LtB170_T,6/9/2013,,Outdoor,A,East,West,-37.81172914,144.9682466,"-37.81172914, 144.9682466",50,12,7,10,3,10,25,58,94,124,180,304,410,446,261,252,238,301,401,462,369,238,157,75
21,Bourke St-Russell St (West),Rus180_T,2/9/2013,,Outdoor,A,North,South,-37.81244703,144.9677876,"-37.81244703, 144.96778757",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23,Spencer St-Collins St (South),Col623_T,2/9/2013,,Outdoor,A,East,West,-37.81909256,144.9545275,"-37.81909256, 144.95452748",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,Spencer St-Collins St (North),Col620_T,2/9/2013,,Outdoor,A,East,West,-37.81887963,144.954492,"-37.81887963, 144.95449198",69,198,7,8,10,30,143,300,730,476,340,392,620,495,329,341,453,734,365,235,190,162,82,69
25,Melbourne Convention Exhibition Centre,MCEC_T,28/8/2013,,Outdoor,A,East,West,-37.82401776,144.9560443,"-37.82401776, 144.95604426",149,58,27,23,35,125,459,1125,2344,1804,1293,1270,1612,1665,1561,1833,2418,2541,1613,891,658,645,518,241
26,QV Market-Elizabeth St (West),Eli483_T,28/9/2013,,Outdoor,A,North,South,-37.80869543,144.960494,"-37.80869543, 144.96049403",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27,QV Market-Peel St,Vic_T,16/8/2013,,Outdoor,A,East,West,-37.80606888,144.9564469,"-37.80606888, 144.95644692",65,48,34,37,39,52,103,193,394,419,489,653,862,809,498,527,533,674,621,563,474,357,222,157
28,The Arts Centre,VAC_T,23/8/2013,,Outdoor,A,North,South,-37.82129925,144.9687931,"-37.82129925, 144.96879309",11,9,4,5,6,14,21,68,142,144,136,156,223,130,124,137,125,192,163,110,123,100,43,43
29,St Kilda Rd-Alexandra Gardens,AG_T,11/10/2013,sensor upgraded from laser to 3D on 19/12/2019,Outdoor,A,North,South,-37.81965809,144.9686345,"-37.81965809, 144.96863453",54,12,22,25,33,70,210,462,895,994,1100,1017,1585,1363,1266,1117,1116,1475,1246,1196,563,347,1056,69
30,Lonsdale St (South),Lon189_T,14/10/2013,,Outdoor,A,East,West,-37.8112185,144.9665681,"-37.8112185, 144.96656806",11,8,N/A,1,6,24,76,181,256,280,250,410,541,539,447,554,583,563,667,460,267,120,127,69
31,Lygon St (West),Lyg161_T,10/10/2013,,Outdoor,A,North,South,-37.80169681,144.9665891,"-37.80169681, 144.96658911",200,132,77,46,67,27,38,96,244,191,272,412,611,603,537,472,462,606,691,602,495,571,289,214
35,Southbank,SouthB_T,11/4/2016,Device replaced with two new sensors on 15-4-21,Outdoor,A,East,West,-37.82017828,144.9650888,"-37.82017828, 144.96508877",17,6,4,1,11,6,8,69,94,119,142,212,263,352,288,221,216,282,356,371,388,252,145,94
36,Queen St (West),Que85_T,20/1/2015,,Outdoor,A,North,South,-37.81652527,144.9612106,"-37.81652527, 144.96121062",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,Lygon St (East),Lyg260_T,11/2/2015,,Outdoor,A,North,South,-37.80310271,144.9667145,"-37.80310271, 144.96671451",167,37,62,10,28,115,458,1084,2366,1532,1327,1360,2255,2524,2009,1795,2160,3438,2938,2489,1833,1362,1139,493
39,Alfred Place,AlfPl_T,4/12/2019,In 4/12/2019 sensor upgraded,Outdoor,A,North,South,-37.81379749,144.9699575,"-37.81379749, 144.96995745",20,5,16,5,4,8,21,96,394,304,222,218,562,484,458,390,371,518,338,178,163,190,89,36
40,Lonsdale St-Spring St (West),Spr201_T,19/1/2015,,Outdoor,A,North,South,-37.80999341,144.9722759,"-37.80999341, 144.97227587",18,5,3,1,N/A,16,11,33,71,81,107,126,196,234,204,161,125,183,58,N/A,N/A,73,183,62
41,Flinders La-Swanston St (West),Swa31,29/6/2017,,Outdoor,A,North,South,-37.81668634,144.9668973,"-37.81668634, 144.96689733",25,9,5,3,5,28,51,142,333,289,226,228,476,400,233,169,193,285,170,113,81,50,38,38
42,Grattan St-Swanston St (West),UM1_T,15/4/2015,,Outdoor,A,North,South,-37.80008566,144.9638641,"-37.80008566, 144.96386412",8,4,6,3,3,22,73,212,497,395,312,340,457,461,280,233,259,369,254,151,126,85,43,13
43,Monash Rd-Swanston St (West),UM2_T,15/4/2015,,Outdoor,A,North,South,-37.79844526,144.9641178,"-37.79844526, 144.96411782",20,7,2,5,3,11,31,105,452,587,815,882,1265,1498,1088,1136,931,1042,830,308,315,168,94,48
44,Tin Alley-Swanston St (West),UM3_T,15/4/2015,,Outdoor,A,North,South,-37.79690473,144.9644038,"-37.79690473, 144.96440378",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45,Little Collins St-Swanston St (East),Swa148_T,29/6/2017,,Outdoor,A,North,South,-37.81414075,144.9660938,"-37.81414075, 144.96609379",2,4,N/A,2,1,5,20,60,73,172,253,209,111,89,73,75,84,67,42,29,25,14,20,9
46,Pelham St (South),Pel147_T,10/7/2017,,Outdoor,A,East,West,-37.80240719,144.9615673,"-37.80240719, 144.9615673",64,38,17,16,16,41,76,207,521,494,548,710,1115,1304,1012,1057,1073,1215,950,737,651,440,319,206
47,Melbourne Central-Elizabeth St (East),Eli250_T,24/8/2017,,Outdoor,A,North,South,-37.81160332,144.9622008,"-37.81160332, 144.96220077",143,77,54,85,52,149,427,954,2155,1829,2074,2159,3113,3133,2673,2707,3068,3400,2626,1949,1459,1225,840,584
48,QVM-Queen St (East),QVMQ_T,2/10/2017,,Outdoor,A,East,West,-37.80631581,144.958667,"-37.80631581, 144.95866697",12,2,1,1,6,9,13,51,245,266,257,232,326,356,296,285,287,315,229,141,123,77,84,31
49,QVM-Therry St (South),Eli501_T,29/11/2017,,Outdoor,A,East,West,-37.80730068,144.9595606,"-37.80730068, 144.95956055",115,60,39,33,34,95,269,334,795,810,970,1327,1702,1848,1721,1633,1758,1993,1536,1132,947,736,461,220
50,Faraday St-Lygon St (West),Lyg309_T,30/11/2017,,Outdoor,A,North,South,-37.79808192,144.9672101,"-37.79808192, 144.96721013",22,19,9,2,7,21,35,114,205,238,233,262,338,253,299,209,204,234,189,144,185,119,63,47
